Star,RA,Dec,Period,Method,Gaia_Dist,Calc_Dist,Dust_Av,Status
V* WW Scl,1.5081593597500005,-36.90418908001,0.7848,RR_Lyrae(K),,3780.6,0.00,No Gaia Ref
WORC 293,96.45454516105,-68.19683862439,7.2188,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
DJM  41,101.72689024888,-6.038383148159999,11.7984,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
C* 3227,29.71327895477,40.62248252461,2.4069,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
V* V1138 Cen,193.01577752601,-31.04798358974,29.5043,Cepheid(IR),,77065.6,0.00,No Gaia Ref
NIKC 3-54,68.21441262658,48.28361127724,13.5353,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
V* EL Hya,182.42522045075,-34.95730775209,14.1482,Cepheid(IR),,47002.8,0.00,No Gaia Ref
Case  549,53.01144093466,51.08887090939001,6.2974,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J081314.2+074146,123.30932479723998,7.696377219549999,0.5919,RR_Lyrae(V),,2630.3,0.00,No Gaia Ref
V* SS Pav,288.35645635905,-66.35825076365,0.6595,RR_Lyrae(K),,3502.3,0.00,No Gaia Ref
C* 2532,271.90094224222,-11.21280691246,15.9987,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
WORC 289,96.10655676827,-69.90246599836,1.8244,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J214314.5-330824,325.81071408351,-33.13995507137,42.1013,None,,0,0.00,Processing
V* CN Scl,355.09550008559995,-38.31613546712,0.5863,RR_Lyrae(K),,3121.4,0.00,No Gaia Ref
Cl* NGC 6121    SAW V31,246.00262747017,-26.51169515544,0.5062,RR_Lyrae(K),,1737.9,0.00,No Gaia Ref
V* YZ Tau,57.15291705007,24.22003450803,52.8374,Cepheid(IR),,71872.0,0.00,No Gaia Ref
CRTS J142441.7-025911,216.17431768199,-2.98639991846,11.9966,None,,0,0.00,Processing
NSVS  18558435,166.98389878231,-25.53511808034,0.6516,RR_Lyrae(K),,2687.2,0.00,No Gaia Ref
HE 1051-0518,163.62051768951,-5.57240764718,13.2942,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
Case  443,276.74019056224995,1.15087810342,500.0000,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
BC    137,66.49463068872,56.69438774504,4.3789,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
HE 2145-1715,327.18525591081993,-17.017349938950005,14.3898,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
ASAS J142904-1423.7,217.26856753177,-14.39619266216,0.5216,RR_Lyrae(K),,2721.9,0.00,No Gaia Ref
CRTS J194524.0-183332,296.35062241661,-18.5584580576,0.6760,RR_Lyrae(V),,2630.3,0.00,No Gaia Ref
C*  571,101.07791251869,1.91718595981,500.0000,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
[W71b] 053-11,151.17762909789,-54.88469743627,13.6232,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
V* DE Pyx,140.25201875622,-26.740584952039995,0.5774,RR_Lyrae(K),,3267.7,0.00,No Gaia Ref
HE 1058-1300,165.15514357238,-13.28201979246,4.1108,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
DJM  51,102.1780960703,2.03850311336,13.2341,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
Case  198,299.22152872148,31.722821267410005,21.2413,Cepheid(IR),,1482.8,0.00,No Gaia Ref
CRTS J152533.2+465746,231.38852680956,46.96270189065,0.5324,RR_Lyrae(V),,2630.3,0.00,No Gaia Ref
BM   IV  94,132.77850055651,-41.68693936837,6.4858,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
ASAS J131301-2925.5,198.2539519617,-29.425506388820004,0.6997,RR_Lyrae(K),,3002.8,0.00,No Gaia Ref
ASAS J210137-3539.2,315.40248998964,-35.6517582921,0.6081,RR_Lyrae(K),,3197.0,0.00,No Gaia Ref
ATO J290.8977+54.2452,290.8977742139454,54.24528402519445,14.4651,Cepheid(IR),,41847.6,0.00,No Gaia Ref
V* XY Crv,187.00490157332,-23.474264252230004,1.4052,Cepheid(IR),,8547.7,0.00,No Gaia Ref
CRTS J210032.3-370819,315.13415053184,-37.13853235181,0.5966,RR_Lyrae(V),,2618.2,0.00,No Gaia Ref
V* V347 Her,281.24126688023,23.054290916829995,0.5376,RR_Lyrae(K),,2172.6,0.00,No Gaia Ref
NSVS  10147461,130.08381508278,7.037025517650001,0.5891,RR_Lyrae(K),,2387.3,0.00,No Gaia Ref
[W71b] 064-16,163.47080892675,-61.42504611554,12.4826,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
NSVS   1156867,255.10164435364,80.61095649352,0.6901,RR_Lyrae(K),,2676.3,0.00,No Gaia Ref
ASAS J130303+0223.9,195.76460747891,2.39797356335,15.7019,Cepheid(IR),,51127.4,0.00,No Gaia Ref
V* SZ CVn,207.68422529511,37.61867033347,0.5493,RR_Lyrae(K),,2945.5,0.00,No Gaia Ref
CRTS J035453.6-133042,58.72368572729,-13.51198379182,24.1875,None,,0,0.00,Processing
SV* R   372,245.97329910692,-26.50148828226,0.5216,RR_Lyrae(K),,1778.6,0.00,No Gaia Ref
CRTS J201249.0-130727,303.20454000251,-13.12435804708,12.7728,None,,0,0.00,Processing
V* LO Cen,184.27404275969,-47.22853007327,0.5923,RR_Lyrae(K),,2949.8,0.00,No Gaia Ref
CRTS J194411.9-614625,296.04944556142,-61.77364562414,0.5934,RR_Lyrae(V),,2618.2,0.00,No Gaia Ref
V* V354 Vir,175.88424508754,2.69877507604,0.5938,RR_Lyrae(K),,2555.7,0.00,No Gaia Ref
V* EK Hya,182.2039514072,-30.07234677904,0.7239,RR_Lyrae(K),,3337.4,0.00,No Gaia Ref
ATO J095.8915-01.9627,95.89158421177956,-1.962704141321111,0.5809,RR_Lyrae(K),,2328.4,0.00,No Gaia Ref
HE 1443-0503,221.62560958893,-5.27242706096,13.2942,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
NSVS   7234333,110.93051140455,34.64008554703,0.5755,RR_Lyrae(K),,2874.5,0.00,No Gaia Ref
V* CQ Cnc,131.34256545877,15.27475561711,0.5248,RR_Lyrae(K),,2790.7,0.00,No Gaia Ref
NSVS  13370178,218.57450542797,-4.36482382444,1.8554,Cepheid(IR),,10338.2,0.00,No Gaia Ref
NSVS   2852763,249.02850947244,65.33113596513,14.4648,Cepheid(IR),,46678.7,0.00,No Gaia Ref
CRTS J024506.5-500656,41.27700965549,-50.11571201561001,0.5523,RR_Lyrae(V),,2606.2,0.00,No Gaia Ref
CRTS J055620.1-184809,89.084058091,-18.80261902425,0.7288,RR_Lyrae(V),,2606.2,0.00,No Gaia Ref
V* V1332 Her,272.70327558848,17.20830490648,0.5217,RR_Lyrae(K),,2453.0,0.00,No Gaia Ref
SOPS  III e-22,112.29287787052002,-50.36998495756,7.0798,Cepheid(IR),,7888.6,0.00,No Gaia Ref
Cl* NGC 6121    SAW V32,246.12368584872,-26.5340385154,16.5956,Cepheid(IR),,24016.1,0.00,No Gaia Ref
CRTS J201204.2-274842,303.0177073735799,-27.81173287208,13.1737,None,,0,0.00,Processing
ASAS J235523+1356.3,358.84522881399,13.93870533935,0.6960,RR_Lyrae(K),,3348.6,0.00,No Gaia Ref
CRTS J095747.0-170233,149.44542719026,-17.04202574931,16.9780,None,,0,0.00,Processing
CRTS J191215.3-572956,288.06335694031,-57.49880209221,0.7197,RR_Lyrae(V),,2606.2,0.00,No Gaia Ref
Case  166,274.55400060032,-11.7517692286,15.9988,Cepheid(IR),,549.6,0.00,No Gaia Ref
ATO J323.8601+17.4338,323.86013594519994,17.43385612601083,16.4176,Cepheid(IR),,41132.5,0.00,No Gaia Ref
CRTS J135845.8-441607,209.6918826659904,-44.26914475566361,14.5958,Cepheid(IR),,42394.8,0.00,No Gaia Ref
V* GW Cet,22.20113402573,-11.4534918046,0.5172,RR_Lyrae(K),,3091.4,0.00,No Gaia Ref
ROTSE1 J143011.82+265624.3,217.5492699448,26.94029080314,16.1781,Cepheid(IR),,51443.3,0.00,No Gaia Ref
